BITWIDTH ; ATTEN ; Max Voltage ; Raw ; U_manual(mV) ; U_cali(mV) ; Error(%) 
-------- ; ----- ; ----------- ; --- ; ------------ ; ---------- ; --------- 
12;0;950;0;0;0;0
12;0;950;0;0;0;0
12;0;950;0;0;0;0
12;0;950;0;0;0;0
12;0;950;53;12;15;18.03
12;0;950;215;50;54;7.63
12;0;950;419;97;105;7.42
12;0;950;565;131;140;6.38
12;0;950;697;162;173;6.53
12;0;950;845;196;210;6.65
12;0;950;987;229;245;6.54
12;0;950;1126;261;279;6.37
12;0;950;1259;292;312;6.39
12;0;950;1389;322;343;6.05
12;0;950;1549;359;382;5.93
12;0;950;1690;392;418;6.2
12;0;950;1823;423;451;6.23
12;0;950;1967;456;485;5.91
12;0;950;2125;493;524;5.92
12;0;950;2267;526;558;5.75
12;0;950;2439;566;601;5.85
12;0;950;2596;602;640;5.9
12;0;950;2769;642;681;5.67
12;0;950;2921;678;718;5.62
12;0;950;3116;723;766;5.63
12;0;950;3291;763;809;5.63
12;0;950;3449;800;846;5.42
12;0;950;3641;845;894;5.52
12;0;950;3860;895;947;5.44
12;0;950;4063;943;996;5.36
12;0;950;4095;950;1004;5.38
12;0;950;4095;950;1004;5.38
12;0;950;4095;950;1004;5.38
12;0;950;4095;950;1004;5.38
